EMP_NUM,EMP_FNAME,EMP_LNAME,EMP_DOB,DEPT_CODE,PROF_EXTENSION
103,Ronald,Donelly,"1952-10-02 00:00:00",HIST,6783
104,Preston,Yukon,"1948-02-23 00:00:00",ENG,5561
105,Arnelle,Heffington,"1950-11-02 00:00:00",ACCT,8665
106,Ross,Washington,"1941-03-04 00:00:00",MKT/MGT,3899
110,Van,Thieu,"1951-08-12 00:00:00",BIOL,3412
114,Gerald,Graztevski,"1939-03-18 00:00:00",ACCT,4436
155,Annelise,Ritula,"1957-05-24 00:00:00",MATH,4440
160,Robert,Smith,"1955-06-19 00:00:00",ENG,2248
162,Peter,Rob,"1940-06-20 00:00:00",CIS,2359
191,Willa,Dexter,"1953-05-17 00:00:00",MKT/MGT,4016
195,Herman,Williams,"1955-11-19 00:00:00",PSYCH,3550
209,Melanie,Smith,"1946-05-24 00:00:00",CIS,3421
228,Carlos,Coronel,"1949-05-16 00:00:00",CIS,3000
297,Hermine,Jones,"1950-07-04 00:00:00",MATH,1145
299,Doreen,Stoddard,"1960-04-25 00:00:00",ECON/FIN,2851
301,Ismael,Osaki,"1952-05-25 00:00:00",ACCT,4683
335,Ronald,Okomoto,"1944-03-03 00:00:00",ENG,2000
342,Robert,Smith,"1937-12-30 00:00:00",SOC,5514
387,George,Smithson,"1948-10-01 00:00:00",BIOL,8665
401,James,Blalock,"1945-03-15 00:00:00",HIST,6783
425,Ralph,Matler,"1973-12-02 00:00:00",ECON/FIN,2851
435,Anne,Doornberg,"1963-10-02 00:00:00",ART,2278
