STU_NUM,STU_FNAME,STU_LNAME,STU_DOB,STU_CLASS,STU_GPA,DEPT_CODE,EMP_NUM
311198,Anne,Robertson,1970-11-15,3,3.04,CIS,162
311357,Jan,Huizinga,1973-04-04,3,2.02,MKT/MGT,106
319989,Heinz,Schloss,1960-02-25,4,3.45,MKT/MGT,106
320367,Suzanna,Grafton,1976-10-18,2,2.81,HIST,103
321452,William,Bowser,1972-02-12,2,1.55,BIOL,387
322345,Sidney,Wesson,1956-12-14,2,3.91,ACCT,301
323119,George,Papar,1970-04-04,4,2.78,MKT/MGT,106
324257,Anne,Smithson,1973-11-18,3,2.02,CIS,209
324258,Juliette,Brewer,1966-08-23,2,3.48,ACCT,114
324269,Walter,Oblonski,1973-09-16,3,2.17,CIS,162
324273,John,Smith,1955-12-30,4,2.72,MATH,155
324274,Raphael,Katinga,1968-10-25,4,2.91,ACCT,114
324291,Gerald,Robertson,1970-04-04,4,2.45,BIOL,387
324299,John,Smith,1975-11-30,1,1.75,ACCT,301
324567,Samuel,Willow,1979-07-12,1,NULL,BIOL,387
325563,Marie,Warren,1971-08-22,2,2.42,ACCT,301
326578,George,Weston,1978-02-01,3,2.09,MKT/MGT,106
327689,Leontine,Olenga,1976-10-15,3,3.12,MKT/MGT,106
328799,Robert,Smith,1950-04-08,4,3.51,BIOL,387
328934,Carlos,Innugado,1976-11-30,3,2.38,CIS,228
328993,Anton,Jubilar,1958-10-29,4,2.95,ACCT,114
330010,Georgette,Schlumberg,1949-02-25,1,3.21,CIS,209
330021,William,Browning,1972-12-30,2,1.53,HIST,103
332345,Annelise,Paulus,1974-01-05,4,3.92,MATH,155
341101,Ronald,Richter,1960-11-30,1,NULL,ART,435
341108,Darren,Smith,1988-08-18,1,2.45,ENG,160
342715,Marie,Alvarez,1987-04-19,3,2.98,ENG,160
342721,Robert,Rutan,1981-02-02,2,3.01,ECON/FIN,299
342722,Louise,Browning,1984-10-12,3,3.72,SOC,342
342745,Warren,Ularen,1975-09-23,4,2.51,PSYCH,195
342748,George,Perdurax,1970-05-27,2,2.78,ACCT,301
343749,John,Brewton,1966-05-01,2,1.65,CIS,209
345755,Jeanine,Washington,1978-12-25,1,2.87,MKT/MGT,191
345758,Antoinette,Johnson,1975-06-16,3,3.45,CIS,209
345767,Rupert,Jones,1975-03-19,3,3.33,ENG,104
345779,Kenna,Hernando,1971-07-12,4,3.88,HIST,401
345783,LaRue,Boisseaux,1979-11-28,2,3.02,ART,435
900245,Randy,Peppard,1975-06-21,2,2.61,BIOL,387
